RPRX,10-Nov-2020,Sep 2020,0.59,0.48,-0.11,-18.6
H,04-Nov-2020,Sep 2020,-1.25,-1.48,-0.23,-18.4
NFLX,20-Oct-2020,Sep 2020,2.13,1.74,-0.39,-18.3
HRB,08-Dec-2020,Oct 2020,-0.93,-1.09,-0.16,-17.2
SPOT,29-Oct-2020,Sep 2020,-0.58,-0.68,-0.1,-17.2
TFSL,29-Oct-2020,Sep 2020,0.06,0.05,-0.01,-16.6
VOYA,04-Nov-2020,Sep 2020,1.41,1.19,-0.22,-15.6
LVS,21-Oct-2020,Sep 2020,-0.58,-0.67,-0.09,-15.5
LYV,05-Nov-2020,Sep 2020,-2.12,-2.45,-0.33,-15.5
MSA,28-Oct-2020,Sep 2020,1.1,0.94,-0.16,-14.5
RCL,29-Oct-2020,Sep 2020,-4.92,-5.62,-0.7,-14.2
SMG,04-Nov-2020,Sep 2020,0.07,0.06,-0.01,-14.2
RE,29-Oct-2020,Sep 2020,2.81,2.42,-0.39,-13.8
GPS,24-Nov-2020,Oct 2020,0.29,0.25,-0.04,-13.7
MCY,03-Nov-2020,Sep 2020,1.42,1.23,-0.19,-13.3
SYF,20-Oct-2020,Sep 2020,0.83,0.72,-0.11,-13.2
ALK,22-Oct-2020,Sep 2020,-2.86,-3.23,-0.37,-12.9
ARMK,17-Nov-2020,Sep 2020,-0.31,-0.35,-0.04,-12.9
LLY,27-Oct-2020,Sep 2020,1.76,1.54,-0.22,-12.5
TNDM,05-Nov-2020,Sep 2020,-0.08,-0.09,-0.01,-12.5
PCG,29-Oct-2020,Sep 2020,0.25,0.22,-0.03,-12
WTRG,03-Nov-2020,Sep 2020,0.26,0.23,-0.03,-11.5
SRE,05-Nov-2020,Sep 2020,1.47,1.31,-0.16,-10.8
DPZ,08-Oct-2020,Sep 2020,2.75,2.49,-0.26,-9.4
WEX,29-Oct-2020,Sep 2020,1.75,1.59,-0.16,-9.1
NRZ,26-Oct-2020,Sep 2020,0.34,0.31,-0.03,-8.8
SPG,09-Nov-2020,Sep 2020,2.25,2.05,-0.2,-8.8
CHH,05-Nov-2020,Sep 2020,0.72,0.66,-0.06,-8.3
VNO,02-Nov-2020,Sep 2020,0.64,0.59,-0.05,-7.8
