EPAM,05-Nov-2020,Sep 2020,1.47,1.65,0.18,12.2
FBHS,28-Oct-2020,Sep 2020,1.06,1.19,0.13,12.2
ETN,03-Nov-2020,Sep 2020,1.05,1.18,0.13,12.3
FCN,29-Oct-2020,Sep 2020,1.37,1.54,0.17,12.4
HAS,26-Oct-2020,Sep 2020,1.67,1.88,0.21,12.5
LSTR,21-Oct-2020,Sep 2020,1.43,1.61,0.18,12.5
NUAN,18-Nov-2020,Sep 2020,0.16,0.18,0.02,12.5
NVT,30-Oct-2020,Sep 2020,0.4,0.45,0.05,12.5
PAYX,06-Oct-2020,Aug 2020,0.56,0.63,0.07,12.5
AWI,27-Oct-2020,Sep 2020,0.95,1.07,0.12,12.6
WMT,17-Nov-2020,Oct 2020,1.19,1.34,0.15,12.6
CASY,07-Dec-2020,Oct 2020,2.66,3,0.34,12.7
HUBB,27-Oct-2020,Sep 2020,2.04,2.3,0.26,12.7
LII,19-Oct-2020,Sep 2020,3.13,3.53,0.4,12.7
CL,30-Oct-2020,Sep 2020,0.7,0.79,0.09,12.8
FTNT,29-Oct-2020,Sep 2020,0.78,0.88,0.1,12.8
EAF,03-Nov-2020,Sep 2020,0.31,0.35,0.04,12.9
ETSY,28-Oct-2020,Sep 2020,0.62,0.7,0.08,12.9
FNB,19-Oct-2020,Sep 2020,0.23,0.26,0.03,13
IOVA,05-Nov-2020,Sep 2020,-0.46,-0.4,0.06,13
OLN,04-Nov-2020,Sep 2020,-0.23,-0.2,0.03,13
WAT,27-Oct-2020,Sep 2020,1.91,2.16,0.25,13
CTLT,03-Nov-2020,Sep 2020,0.38,0.43,0.05,13.1
GLW,27-Oct-2020,Sep 2020,0.38,0.43,0.05,13.1
CMS,29-Oct-2020,Sep 2020,0.68,0.77,0.09,13.2
NVDA,18-Nov-2020,Oct 2020,2.57,2.91,0.34,13.2
ODFL,27-Oct-2020,Sep 2020,1.51,1.71,0.2,13.2
SLG,21-Oct-2020,Sep 2020,1.59,1.8,0.21,13.2
EW,21-Oct-2020,Sep 2020,0.45,0.51,0.06,13.3
FDS,24-Sep-2020,Aug 2020,2.54,2.88,0.34,13.3
ROL,28-Oct-2020,Sep 2020,0.15,0.17,0.02,13.3
MSM,27-Oct-2020,Aug 2020,0.96,1.09,0.13,13.5
QRVO,04-Nov-2020,Sep 2020,2.14,2.43,0.29,13.5
CREE,28-Oct-2020,Sep 2020,-0.22,-0.19,0.03,13.6
FLS,05-Nov-2020,Sep 2020,0.44,0.5,0.06,13.6
BAX,29-Oct-2020,Sep 2020,0.73,0.83,0.1,13.7
AMD,27-Oct-2020,Sep 2020,0.36,0.41,0.05,13.8
PYPL,02-Nov-2020,Sep 2020,0.94,1.07,0.13,13.8
WST,22-Oct-2020,Sep 2020,1.01,1.15,0.14,13.8
PG,20-Oct-2020,Sep 2020,1.43,1.63,0.2,13.9
PINC,02-Nov-2020,Sep 2020,0.5,0.57,0.07,14
