CGNX,28-Oct-2020,Sep 2020,0.33,0.49,0.16,48.4
ICUI,05-Nov-2020,Sep 2020,1.28,1.9,0.62,48.4
JBL,24-Sep-2020,Aug 2020,0.66,0.98,0.32,48.4
SFM,28-Oct-2020,Sep 2020,0.35,0.52,0.17,48.5
KMPR,02-Nov-2020,Sep 2020,0.91,1.36,0.45,49.4
AIZ,02-Nov-2020,Sep 2020,0.94,1.41,0.47,50
BILL,05-Nov-2020,Sep 2020,-0.08,-0.04,0.04,50
DVN,29-Oct-2020,Sep 2020,-0.08,-0.04,0.04,50
FIVN,29-Oct-2020,Sep 2020,0.18,0.27,0.09,50
HAIN,09-Nov-2020,Sep 2020,0.18,0.27,0.09,50
NCR,27-Oct-2020,Sep 2020,0.36,0.54,0.18,50
PLAN,24-Nov-2020,Oct 2020,-0.1,-0.05,0.05,50
RYN,28-Oct-2020,Sep 2020,0.04,0.06,0.02,50
DFS,21-Oct-2020,Sep 2020,1.63,2.45,0.82,50.3
ORI,22-Oct-2020,Sep 2020,0.41,0.62,0.21,51.2
ADS,29-Oct-2020,Sep 2020,2.28,3.45,1.17,51.3
SKX,29-Oct-2020,Sep 2020,0.35,0.53,0.18,51.4
TXT,29-Oct-2020,Sep 2020,0.35,0.53,0.18,51.4
DOW,22-Oct-2020,Sep 2020,0.33,0.5,0.17,51.5
SNA,22-Oct-2020,Sep 2020,2.16,3.28,1.12,51.8
TDG,12-Nov-2020,Sep 2020,1.9,2.89,0.99,52.1
BURL,24-Nov-2020,Oct 2020,0.19,0.29,0.1,52.6
SYK,29-Oct-2020,Sep 2020,1.4,2.14,0.74,52.8
GTES,03-Nov-2020,Sep 2020,0.17,0.26,0.09,52.9
RL,29-Oct-2020,Sep 2020,0.94,1.44,0.5,53.1
MOH,28-Oct-2020,Sep 2020,2.19,3.36,1.17,53.4
SBUX,29-Oct-2020,Sep 2020,0.33,0.51,0.18,54.5
WTFC,21-Oct-2020,Sep 2020,1.08,1.67,0.59,54.6
SIVB,22-Oct-2020,Sep 2020,5.45,8.47,3.02,55.4
BR,30-Oct-2020,Sep 2020,0.63,0.98,0.35,55.5
TAP,29-Oct-2020,Sep 2020,1.04,1.62,0.58,55.7
GRMN,28-Oct-2020,Sep 2020,1.01,1.58,0.57,56.4
APA,04-Nov-2020,Sep 2020,-0.37,-0.16,0.21,56.7
FEYE,27-Oct-2020,Sep 2020,0.07,0.11,0.04,57.1
TSN,16-Nov-2020,Sep 2020,1.15,1.81,0.66,57.3
OLED,29-Oct-2020,Sep 2020,0.54,0.85,0.31,57.4
UGI,18-Nov-2020,Sep 2020,-0.33,-0.14,0.19,57.5
AFG,28-Oct-2020,Sep 2020,1.55,2.45,0.9,58
GMED,28-Oct-2020,Sep 2020,0.31,0.49,0.18,58
CBSH,20-Oct-2020,Sep 2020,0.67,1.06,0.39,58.2
STAY,09-Nov-2020,Sep 2020,0.12,0.19,0.07,58.3
